epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,15461.7,0.67949,0.85488,1.17011,0.88053,0.87363,0.93273,0.80314,0.54772,0.5057,1.09664,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,15675.5,0.6795,0.84038,1.16973,0.90261,0.87261,0.93731,0.81135,0.54828,0.49619,1.09695,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,15890.2,0.68347,0.84084,1.16835,0.8958,0.88222,0.93604,0.81042,0.55748,0.49614,1.10651,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,16105.1,0.67676,0.83995,1.16661,0.92131,0.86137,0.93655,0.809,0.55682,0.48742,1.10935,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,16320.1,0.66922,0.81747,1.15736,0.90972,0.87852,0.93859,0.81165,0.55379,0.49467,1.10244,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,16534.3,0.66928,0.81889,1.1614,0.90691,0.87106,0.93511,0.80909,0.55454,0.49824,1.10506,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,16748.8,0.67192,0.81296,1.16433,0.88918,0.88629,0.93719,0.80683,0.55098,0.49799,1.10293,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,16963,0.66731,0.80985,1.16205,0.90086,0.8796,0.93869,0.81038,0.54939,0.4967,1.10124,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,17177.5,0.66993,0.80336,1.1597,0.91692,0.87671,0.93941,0.81081,0.55099,0.48689,1.10634,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,17392.3,0.66713,0.80443,1.1607,0.88109,0.89228,0.9381,0.81418,0.54771,0.48291,1.10278,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,17606.7,0.66449,0.79407,1.16154,0.90282,0.87539,0.94084,0.81443,0.54803,0.47718,1.10004,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,17826.4,0.66264,0.78392,1.1547,0.89998,0.88561,0.94253,0.81584,0.54929,0.47753,1.10231,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,18040.7,0.66111,0.79114,1.15107,0.91227,0.87888,0.94256,0.81434,0.54978,0.47795,1.09896,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,18255,0.66006,0.77615,1.14969,0.92084,0.8832,0.94448,0.82154,0.55029,0.47757,1.09817,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,18469.3,0.66043,0.77831,1.15282,0.89933,0.88132,0.93981,0.81535,0.55095,0.47133,1.10395,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,18683,0.66284,0.78424,1.1527,0.8941,0.89507,0.94148,0.81276,0.55522,0.47589,1.11003,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,18897,0.6535,0.76281,1.1491,0.89965,0.8914,0.9447,0.81787,0.54927,0.4723,1.10285,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,19110.9,0.65166,0.74832,1.14721,0.89702,0.89115,0.94475,0.81766,0.5499,0.4673,1.10109,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,19324.7,0.64919,0.74988,1.14507,0.89744,0.88904,0.9432,0.81869,0.54978,0.46968,1.10038,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,19538.7,0.65278,0.75332,1.14781,0.90392,0.88803,0.94487,0.82127,0.55108,0.46434,1.10244,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,19752.5,0.65611,0.7405,1.15029,0.90699,0.88398,0.94354,0.82011,0.54515,0.46152,1.0982,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,19966.6,0.64709,0.73148,1.14463,0.90448,0.8805,0.94404,0.82258,0.54461,0.45945,1.10013,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,20180.2,0.64927,0.73513,1.14187,0.9144,0.87793,0.94616,0.82071,0.54208,0.46017,1.09589,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,20394,0.64275,0.72114,1.13883,0.90545,0.89151,0.94516,0.81979,0.54344,0.45985,1.09831,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,20607.8,0.64352,0.72371,1.14096,0.91124,0.88624,0.94633,0.82224,0.5468,0.45613,1.10456,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,20821.6,0.63861,0.71855,1.13584,0.92799,0.87215,0.94504,0.82395,0.54545,0.44974,1.10607,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,21036.1,0.63619,0.70351,1.13684,0.93028,0.87613,0.94631,0.82275,0.54908,0.44879,1.1089,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
